title,baseSnack,primaryTrait,secondaryTrait,intensity,modifier,flavor,imageKey
새로운 길을 바라보는 헤이즐넛 초콜릿,chocolate,성실성,개방성,moderate,새로운 길을 바라보는,헤이즐넛,chocolate-hazelnut
지도 밖으로 여행하는 헤이즐넛 초콜릿,chocolate,성실성,개방성,strong,지도 밖으로 여행하는,헤이즐넛,chocolate-hazelnut
곁에 웃음을 건네는 헤이즐넛 초콜릿,chocolate,성실성,외향성,moderate,곁에 웃음을 건네는,헤이즐넛,chocolate-hazelnut
햇살을 나누는 헤이즐넛 초콜릿,chocolate,성실성,외향성,strong,햇살을 나누는,헤이즐넛,chocolate-hazelnut
곁을 가만히 지키는 우유 초콜릿,chocolate,성실성,우호성,moderate,곁을 가만히 지키는,우유,chocolate-milk
마음을 어루만지는 우유 초콜릿,chocolate,성실성,우호성,strong,마음을 어루만지는,우유,chocolate-milk
잔잔한 오후를 걷는 다크 초콜릿,chocolate,성실성,정서안정,moderate,잔잔한 오후를 걷는,다크,chocolate-dark
달빛 아래 생각에 잠기는 다크 초콜릿,chocolate,성실성,정서안정,strong,달빛 아래 생각에 잠기는,다크,chocolate-dark
새로운 길을 바라보는 레몬 사탕,candy,외향성,개방성,moderate,새로운 길을 바라보는,레몬,candy-lemon
지도 밖으로 여행하는 레몬 사탕,candy,외향성,개방성,strong,지도 밖으로 여행하는,레몬,candy-lemon
하루를 천천히 정리하는 포도 사탕,candy,외향성,성실성,moderate,하루를 천천히 정리하는,포도,candy-grape
별자리를 정리하는 포도 사탕,candy,외향성,성실성,strong,별자리를 정리하는,포도,candy-grape
곁을 가만히 지키는 딸기 사탕,candy,외향성,우호성,moderate,곁을 가만히 지키는,딸기,candy-strawberry
마음을 어루만지는 딸기 사탕,candy,외향성,우호성,strong,마음을 어루만지는,딸기,candy-strawberry
잔잔한 오후를 걷는 포도 사탕,candy,외향성,정서안정,moderate,잔잔한 오후를 걷는,포도,candy-grape
달빛 아래 생각에 잠기는 포도 사탕,candy,외향성,정서안정,strong,달빛 아래 생각에 잠기는,포도,candy-grape
새로운 길을 바라보는 초코 비스킷,biscuit,정서안정,개방성,moderate,새로운 길을 바라보는,초코,biscuit-choco
지도 밖으로 여행하는 초코 비스킷,biscuit,정서안정,개방성,strong,지도 밖으로 여행하는,초코,biscuit-choco
하루를 천천히 정리하는 버터 비스킷,biscuit,정서안정,성실성,moderate,하루를 천천히 정리하는,버터,biscuit-butter
별자리를 정리하는 버터 비스킷,biscuit,정서안정,성실성,strong,별자리를 정리하는,버터,biscuit-butter
곁에 웃음을 건네는 초코 비스킷,biscuit,정서안정,외향성,moderate,곁에 웃음을 건네는,초코,biscuit-choco
햇살을 나누는 초코 비스킷,biscuit,정서안정,외향성,strong,햇살을 나누는,초코,biscuit-choco
곁을 가만히 지키는 딸기잼 비스킷,biscuit,정서안정,우호성,moderate,곁을 가만히 지키는,딸기잼,biscuit-strawberryjam
마음을 어루만지는 딸기잼 비스킷,biscuit,정서안정,우호성,strong,마음을 어루만지는,딸기잼,biscuit-strawberryjam
하루를 천천히 정리하는 말차 마시멜로,marshmallow,개방성,성실성,moderate,하루를 천천히 정리하는,말차,marshmallow-matcha
별자리를 정리하는 말차 마시멜로,marshmallow,개방성,성실성,strong,별자리를 정리하는,말차,marshmallow-matcha
곁에 웃음을 건네는 딸기 마시멜로,marshmallow,개방성,외향성,moderate,곁에 웃음을 건네는,딸기,marshmallow-strawberry
햇살을 나누는 딸기 마시멜로,marshmallow,개방성,외향성,strong,햇살을 나누는,딸기,marshmallow-strawberry
곁을 가만히 지키는 바닐라 마시멜로,marshmallow,개방성,우호성,moderate,곁을 가만히 지키는,바닐라,marshmallow-vanilla
마음을 어루만지는 바닐라 마시멜로,marshmallow,개방성,우호성,strong,마음을 어루만지는,바닐라,marshmallow-vanilla
잔잔한 오후를 걷는 말차 마시멜로,marshmallow,개방성,정서안정,moderate,잔잔한 오후를 걷는,말차,marshmallow-matcha
달빛 아래 생각에 잠기는 말차 마시멜로,marshmallow,개방성,정서안정,strong,달빛 아래 생각에 잠기는,말차,marshmallow-matcha
새로운 길을 바라보는 초콜릿 푸딩,pudding,우호성,개방성,moderate,새로운 길을 바라보는,초콜릿,pudding-chocolate
지도 밖으로 여행하는 초콜릿 푸딩,pudding,우호성,개방성,strong,지도 밖으로 여행하는,초콜릿,pudding-chocolate
하루를 천천히 정리하는 말차 푸딩,pudding,우호성,성실성,moderate,하루를 천천히 정리하는,말차,pudding-matcha
별자리를 정리하는 말차 푸딩,pudding,우호성,성실성,strong,별자리를 정리하는,말차,pudding-matcha
곁에 웃음을 건네는 카라멜 푸딩,pudding,우호성,외향성,moderate,곁에 웃음을 건네는,카라멜,pudding-caramel
햇살을 나누는 카라멜 푸딩,pudding,우호성,외향성,strong,햇살을 나누는,카라멜,pudding-caramel
잔잔한 오후를 걷는 말차 푸딩,pudding,우호성,정서안정,moderate,잔잔한 오후를 걷는,말차,pudding-matcha
달빛 아래 생각에 잠기는 말차 푸딩,pudding,우호성,정서안정,strong,달빛 아래 생각에 잠기는,말차,pudding-matcha
